id	bio_token	bio_tag
31963	При	O
31963	входе	O
31963	в	O
31963	ресторан	B-Whole
31963	вас	O
31963	встречают	O
31963	необычный	O
31963	интерьер	B-Interior
31963	,	O
31963	охранник	B-Service
31963	и	O
31963	приветливый	O
31963	администратор	B-Service
31963	.	O
31963	Проходите	O
31963	в	O
31963	один	O
31963	из	O
31963	четырех	O
31963	залов	O
31963	,	O
31963	а	O
31963	далее	O
31963	как	O
31963	обычно	O
31963	:	O
31963	усаживаетесь	O
31963	,	O
31963	ждете	O
31963	официанта	B-Service
31963	(	O
31963	благо	O
31963	он	O
31963	приходит	O
31963	достаточно	O
31963	быстро	O
31963	)	O
31963	,	O
31963	заказываете	O
31963	еду	B-Food
31963	и	O
31963	ждете	O
31963	минут	O
31963	15	O
31963	-	O
31963	20	O
31963	.	O
31963	Обстановка	B-Interior
31963	в	I-Interior
31963	ресторане	I-Interior
31963	достаточно	O
31963	интересная	O
31963	.	O
31963	Если	O
31963	брать	O
31963	во	O
31963	внимание	O
31963	кухню	B-Food
31963	,	O
31963	то	O
31963	как	O
31963	придется	O
31963	:	O
31963	вцелом	O
31963	сами	O
31963	блюда	B-Food
31963	вкусные	O
31963	,	O
31963	но	O
31963	все	O
31963	зависит	O
31963	,	O
31963	наверное	O
31963	от	O
31963	повара	B-Food
31963	или	O
31963	от	O
31963	его	O
31963	настроения	O
31963	,	O
31963	от	O
31963	качетсва	O
31963	самих	O
31963	продуктов	O
31963	или	O
31963	чего-то	O
31963	другого	O
31963	,	O
31963	не	O
31963	знаю	O
31963	.	O
31963	.	O
31963	.	O
31963	,	O
31963	в	O
31963	общем	O
31963	побывав	O
31963	в	O
31963	данном	O
31963	ресторане	B-Whole
31963	несколько	O
31963	раз	O
31963	и	O
31963	заказывая	O
31963	одно	O
31963	и	O
31963	то	O
31963	же	O
31963	горячее	B-Food
31963	я	O
31963	была	O
31963	очень	O
31963	сильно	O
31963	разочарована	O
31963	,	O
31963	т.	O
31963	к.	O
31963	в	O
31963	первый	O
31963	раз	O
31963	мне	O
31963	принесли	O
31963	шикарное	O
31963	мясное	B-Food
31963	блюдо	I-Food
31963	,	O
31963	но	O
31963	во	O
31963	второй	O
31963	раз	O
31963	я	O
31963	,	O
31963	мягко	O
31963	говоря	O
31963	,	O
31963	очень	O
31963	сильно	O
31963	пожалела	O
31963	заказав	O
31963	его	O
31963	:	O
31963	мясо	B-Food
31963	жесткое	O
31963	,	O
31963	не	O
31963	жуется	O
